iter	Passed	Remaining
836	996	193
837	997	192
838	998	191
839	999	190
840	1000	189
841	1001	187
842	1002	186
843	1003	185
844	1004	184
845	1005	183
846	1006	181
847	1007	180
848	1008	179
849	1009	178
850	1010	176
851	1011	175
852	1012	174
853	1013	173
854	1013	171
855	1014	170
856	1015	169
857	1016	168
858	1018	167
859	1019	165
860	1019	164
861	1021	163
862	1022	162
863	1023	161
864	1024	159
865	1024	158
866	1025	157
867	1026	156
868	1027	154
869	1028	153
870	1029	152
871	1030	151
872	1031	150
873	1032	148
874	1033	147
875	1034	146
876	1035	145
877	1036	144
878	1037	142
879	1039	141
880	1040	140
881	1041	139
882	1041	138
883	1042	136
884	1043	135
885	1044	134
886	1045	133
887	1046	131
888	1047	130
889	1048	129
890	1049	128
891	1050	127
892	1051	125
893	1052	124
894	1053	123
895	1054	122
896	1055	121
897	1056	120
898	1057	118
899	1058	117
900	1059	116
901	1060	115
902	1061	114
903	1062	112
904	1063	111
905	1064	110
906	1065	109
907	1066	108
908	1070	107
909	1071	105
910	1072	104
911	1073	103
912	1074	102
913	1075	101
914	1076	99
915	1077	98
916	1078	97
917	1079	96
918	1080	95
919	1081	94
920	1082	92
921	1083	91
922	1084	90
923	1085	89
924	1086	88
925	1087	86
926	1088	85
927	1089	84
928	1090	83
929	1091	82
930	1092	80
931	1093	79
932	1094	78
933	1095	77
934	1096	76
935	1098	75
936	1099	73
937	1100	72
938	1101	71
939	1102	70
940	1103	69
941	1104	67
942	1105	66
943	1106	65
944	1107	64
945	1108	63
946	1109	62
947	1110	60
948	1111	59
949	1112	58
950	1113	57
951	1114	56
952	1115	55
953	1116	53
954	1117	52
955	1118	51
956	1119	50
957	1120	49
958	1121	47
959	1122	46
960	1123	45
961	1124	44
962	1125	43
963	1125	42
964	1127	40
965	1128	39
966	1129	38
967	1130	37
968	1131	36
969	1132	35
970	1133	33
971	1134	32
972	1135	31
973	1136	30
974	1137	29
975	1138	27
976	1139	26
977	1140	25
978	1141	24
979	1142	23
980	1143	22
981	1144	20
982	1145	19
983	1146	18
984	1147	17
985	1148	16
986	1149	15
987	1150	13
988	1151	12
989	1152	11
990	1153	10
991	1153	9
992	1154	8
993	1155	6
994	1157	5
995	1158	4
996	1159	3
997	1160	2
998	1161	1
999	1162	0
