iter	Logloss
193	0.3893043792
194	0.3891119301
195	0.3876771074
196	0.3865779798
197	0.3862859366
198	0.385865781
199	0.3857046119
200	0.3848702112
201	0.3838375631
202	0.3821836289
203	0.3818741243
204	0.3787104134
205	0.3779669278
206	0.3778075713
207	0.376550447
208	0.3755664693
209	0.3730169737
210	0.3715161144
211	0.3709432424
212	0.3691028014
213	0.3684130309
214	0.3681192633
215	0.368040937
216	0.3674057444
217	0.3662770797
218	0.3659939394
219	0.3654237246
220	0.363701861
221	0.3630057174
222	0.3623827095
223	0.3618713009
224	0.3606806097
225	0.3590747633
226	0.3563448673
227	0.3554752259
228	0.3547281072
229	0.353775836
230	0.3534571888
231	0.3518694176
232	0.3509867108
233	0.3501468495
234	0.3496862057
235	0.3475974239
236	0.3464400616
237	0.3461112864
238	0.3452919335
239	0.3446862346
240	0.3439731267
241	0.3437662833
242	0.3428484461
243	0.3426678695
244	0.3414940035
245	0.3403926386
246	0.3395890983
247	0.3391009768
248	0.3389286056
249	0.3384936484
250	0.3374265351
251	0.3370210583
252	0.3365319794
253	0.3359512711
254	0.3350362989
255	0.334880771
256	0.3338234584
257	0.332969737
258	0.3322770887
259	0.3312159149
260	0.3298505169
261	0.3297064921
262	0.3289912656
263	0.3285746705
264	0.3266412258
265	0.325503531
266	0.324925083
267	0.3239870415
268	0.323240585
269	0.3220733744
270	0.3216641289
271	0.3208628946
272	0.3195773153
273	0.3187535581
274	0.3178472749
275	0.3174172781
276	0.315937145
277	0.3152650069
278	0.3142771497
279	0.3140030722
280	0.313776343
281	0.3133628618
282	0.3117485252
283	0.3110778599
284	0.3095349637
285	0.3081658595
286	0.3078989142
287	0.3077501382
288	0.3050539098
289	0.3045116483
290	0.3036101105
291	0.3033997448
292	0.3032616308
293	0.3031659865
294	0.3018746687
295	0.3016644349
296	0.3014793033
297	0.3009417775
298	0.3004917739
299	0.2998925281
300	0.2995377477
301	0.2982270027
302	0.2970216288
303	0.2956433295
304	0.294605589
305	0.2935866171
306	0.2927662025
307	0.2923793346
308	0.2919694022
309	0.2914072029
310	0.2907613152
311	0.2897498785
312	0.289615282
313	0.2885830599
314	0.2878173889
315	0.2868340623
316	0.2863349303
317	0.2861105601
318	0.2854564034
319	0.284954789
320	0.2840346728
321	0.2835504467
322	0.2828534695
323	0.2817545131
324	0.281181836
325	0.2805987786
326	0.2800012646
327	0.2793161771
328	0.2785603185
329	0.2781711726
330	0.2780089054
331	0.2767962992
332	0.276287313
333	0.2760094977
334	0.2744827458
335	0.2743671787
336	0.274280817
337	0.2740518515
338	0.2731200698
339	0.2726016394
340	0.2719489291
341	0.2715472792
342	0.2709970483
343	0.2702462667
344	0.2700589866
345	0.2699974791
346	0.2696695736
347	0.2695321121
348	0.2681252451
349	0.2670092755
350	0.2660769319
351	0.2652889821
352	0.2643782447
353	0.2639674269
354	0.2633880746
355	0.2624751888
356	0.2621967604
357	0.2614046769
358	0.2607289736
359	0.2598512278
360	0.258851405
361	0.2580999333
362	0.2575526632
363	0.2570097151
364	0.2567916729
365	0.2565064171
366	0.2555976764
367	0.2545665955
368	0.2541854804
369	0.2532543303
370	0.2526123781
371	0.2524980796
372	0.252278488
373	0.2522288553
374	0.250648559
375	0.2501366715
376	0.2494550836
377	0.2485766852
378	0.2481179501
379	0.2471942038
380	0.2469635375
381	0.2459169127
382	0.245313316
383	0.2449035673
384	0.244687821
385	0.2443941782
386	0.2442006959
387	0.2437997533
388	0.2435596313
389	0.2431855264
390	0.2430394889
391	0.2426322999
392	0.2420889258
393	0.2419961108
394	0.2412938447
395	0.2412155726
396	0.2403184245
397	0.2399729568
398	0.2394761686
399	0.2387238689
400	0.2377461437
401	0.2366400408
402	0.2362204296
403	0.2353640271
404	0.2343613088
405	0.2338430783
406	0.2331097226
407	0.2326156403
408	0.2324196291
409	0.2321712296
410	0.2319030341
411	0.2315391589
412	0.2309900327
413	0.2307986501
414	0.2305726264
415	0.230406848
416	0.2302018533
417	0.229519067
418	0.2290916036
419	0.2287850838
420	0.2285390415
421	0.2284932557
422	0.2281242693
423	0.227794436
424	0.2277647103
425	0.227153865
426	0.2266391154
427	0.2257726051
428	0.2253606144
429	0.2250465323
430	0.2249924533
431	0.2245980802
432	0.2238512573
433	0.2230865458
434	0.2228404129
435	0.2227670369
436	0.2221564166
437	0.2210402062
